Date,Signal,Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-12-22,1,25.844636917114258,0,152459.7367091667,153554.6814836559,111413.97759175627,0,Ensemble (RF + HGB),18
2022-12-23,1,23.38111114501953,1,137927.18623092436,138917.7602348113,111369.82171289058,1,Ensemble (RF + HGB),18
2022-12-26,1,26.337343215942383,1,155366.25355578336,156482.07253287756,125297.68264000348,1,Ensemble (RF + HGB),18
2022-12-27,1,27.9498348236084,0,164878.48027960735,166062.61475540185,125297.68264000348,0,Ensemble (RF + HGB),18
2022-12-28,1,26.874839782714844,0,158536.99204652014,159675.5828295786,125250.96521755641,0,Ensemble (RF + HGB),18
2022-12-29,1,26.695674896240234,1,157480.08296681245,158611.08317481866,124263.65378863332,1,Ensemble (RF + HGB),18
2022-12-30,1,27.412336349487305,0,161707.7305372569,162869.09312627962,124263.65378863332,0,Ensemble (RF + HGB),18
2023-01-02,1,27.36754608154297,1,161443.5088931368,162602.97387880026,124263.65378863332,1,Ensemble (RF + HGB),18
2023-01-03,1,28.711288452148438,0,169370.36074578555,170586.75528676342,124263.65378863332,0,Ensemble (RF + HGB),18
2023-01-04,1,28.17379379272461,0,166199.63350666247,167393.25632248362,124217.1271445093,0,Ensemble (RF + HGB),18
2023-01-05,1,27.860252380371094,0,164350.0257397535,165530.3649280219,122684.06309553732,0,Ensemble (RF + HGB),18
2023-01-06,1,27.501920700073242,1,162236.1963287244,163401.3542860808,122637.8278858962,1,Ensemble (RF + HGB),18
2023-01-09,1,27.815460205078125,0,164085.7928440197,165264.2343481213,123884.06242788861,0,Ensemble (RF + HGB),18
2023-01-10,1,26.60609245300293,1,156951.6284269586,158078.8333474387,123884.06242788861,1,Ensemble (RF + HGB),18
2023-01-11,1,27.501920700073242,1,162236.1963287244,163401.3542860808,123884.06242788861,1,Ensemble (RF + HGB),18
2023-01-12,1,28.039419174194336,1,165406.94607107487,166594.87591520304,123884.06242788861,1,Ensemble (RF + HGB),18
2023-01-13,1,28.397750854492188,1,167520.77548210393,168723.88655714414,123837.60581837066,1,Ensemble (RF + HGB),18
2023-01-16,1,29.60711669921875,0,174654.9286475514,175909.27622540554,129111.43794461308,0,Ensemble (RF + HGB),18
2023-01-17,1,28.6664981842041,0,169106.13910166547,170320.63603928406,124856.64334479508,0,Ensemble (RF + HGB),18
2023-01-18,1,28.6664981842041,0,169106.13910166547,170320.63603928406,124856.64334479508,0,Ensemble (RF + HGB),18
2023-01-19,1,28.30816650390625,0,166992.3096906364,168191.62539734296,124810.00729409799,0,Ensemble (RF + HGB),18
2023-01-20,1,28.039419174194336,0,165406.94607107487,166594.87591520304,123473.61677861225,0,Ensemble (RF + HGB),18
2023-01-23,1,27.68108367919922,0,163293.09415681844,164465.84260841954,123473.61677861225,0,Ensemble (RF + HGB),18
