Date,Signal,Exec_Price_NextOpen,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2023-10-11,1,43.55456057965634,43.50783157348633,0,261218.06163641528,257174.0872450627,167414.51520890783,0,Ensemble (RF + HGB),18
2023-10-12,1,43.087235639918674,43.13397216796875,1,258973.43519326803,254964.21035865505,167414.51520890783,1,Ensemble (RF + HGB),18
2023-10-13,1,44.021881807447414,43.74148941040039,1,262620.92739730154,258555.23493187706,167360.0272308518,1,Ensemble (RF + HGB),18
2023-10-16,1,45.33038993266477,44.3490104675293,1,266268.4425045179,262146.2820537128,172132.7629942926,1,Ensemble (RF + HGB),18
2023-10-17,1,44.67614071114921,44.442474365234375,0,266829.593389509,262698.7456381613,172077.40449952014,0,Ensemble (RF + HGB),18
2023-10-18,1,43.64802838535184,43.50783157348633,0,261218.06163641528,257174.0872450627,167577.4723016629,0,Ensemble (RF + HGB),18
2023-10-19,1,42.76010849068887,42.76011276245117,0,256728.80875012078,252754.33347224738,164503.5159736354,0,Ensemble (RF + HGB),18
2023-10-20,1,41.031017222882,40.93754577636719,0,245786.2405252886,241981.16955812645,164503.5159736354,0,Ensemble (RF + HGB),18
2023-10-23,1,38.04014378353001,37.713016510009766,1,226426.38612240728,222921.0293286645,164449.56507493826,1,Ensemble (RF + HGB),18
2023-10-25,1,38.600929260253906,38.78786087036133,0,232879.67855776203,229274.4169213564,166677.63950205638,0,Ensemble (RF + HGB),18
2023-10-26,1,38.928061910880665,38.600929260253906,1,231757.35388459693,228169.4672038457,166623.28747756826,1,Ensemble (RF + HGB),18
2023-10-27,1,39.629042414027786,39.62904739379883,0,237930.10523223053,234246.6568272339,169623.70670997884,0,Ensemble (RF + HGB),18
2023-10-30,1,39.161721035036464,38.974788665771484,1,234001.98032774418,230379.34409025338,166823.29141125732,1,Ensemble (RF + HGB),18
2023-10-31,1,39.161721966316016,39.021522521972656,0,234282.5672218312,230655.58715678446,167023.3257405946,0,Ensemble (RF + HGB),18
2023-11-01,1,39.208449887688616,38.64766311645508,1,232037.94077868396,228445.71027037682,165423.10008989667,1,Ensemble (RF + HGB),18
2023-11-02,1,40.18982871294886,39.9094352722168,0,239613.53498402087,235904.02503196566,171822.45300607246,0,Ensemble (RF + HGB),18
2023-11-03,1,40.47022407975403,39.9094352722168,1,239613.53498402087,235904.02503196566,171822.45300607246,1,Ensemble (RF + HGB),18
2023-11-06,1,40.3767610719618,40.423492431640625,1,242699.8992062462,238942.60856935292,171767.15176349285,1,Ensemble (RF + HGB),18
2023-11-07,1,41.12447678257148,40.98427963256836,1,246066.8274193756,242257.41262465756,174351.60207670304,1,Ensemble (RF + HGB),18
2023-11-08,1,41.21794563833711,41.03101348876953,0,246347.41431346262,242533.65569118867,175140.64772001654,0,Ensemble (RF + HGB),18
2023-11-09,1,40.470227304142796,40.51696014404297,0,243261.0729944202,239495.0947024151,175140.64772001654,0,Ensemble (RF + HGB),18
2023-11-10,1,40.37676333083221,40.33003234863281,1,242138.77122443804,238390.16753351814,175084.73427051218,1,Ensemble (RF + HGB),18
